card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,4,5401-1281-3545-0209,05/27,31700.0,559.71,2024-05-10
2,1,5,5201-3584-6338-6153,04/28,84000.0,2743.33,2023-09-02
3,1,3,6011-2057-7270-4039,09/26,10600.0,186.7,2022-05-24
4,2,5,5505-2949-0622-8863,09/27,97100.0,4548.05,2024-01-13
5,2,1,5513-6925-8592-0690,10/26,3200.0,124.09,2022-04-29
6,2,2,5584-1236-9773-3426,09/26,6100.0,162.41,2024-08-11
7,3,2,5305-9742-3262-6009,03/28,5200.0,223.27,2023-09-22
8,3,4,6011-7005-2757-5697,02/27,29900.0,339.77,2022-08-24
9,4,1,5139-5143-2241-9438,08/27,3900.0,89.46,2023-10-23
10,4,3,5305-8503-2404-6019,08/26,17500.0,623.92,2024-06-17
11,4,5,3778-8856-0525-6778,05/28,99800.0,1160.06,2025-02-03
12,5,2,6441-5722-0455-4307,08/25,9200.0,356.36,2022-08-30
13,5,4,5238-1281-6113-3801,07/26,28800.0,898.81,2024-01-30
14,5,1,5369-8064-5560-9706,11/26,3400.0,16.36,2023-12-25
15,6,4,6011-2455-7464-0149,12/25,44400.0,1597.75,2023-10-09
16,6,2,5244-6147-3056-8173,01/26,6600.0,261.67,2022-06-26
17,6,1,6445-6206-8320-3325,07/27,1200.0,37.57,2024-02-06
18,7,3,3434-9257-2552-4103,01/28,21000.0,554.87,2023-10-26
19,8,3,6444-4393-1036-3783,08/27,20800.0,28.9,2024-04-10
20,8,5,5286-0201-2717-0151,06/26,69000.0,3203.64,2022-10-19
21,8,4,5466-8145-0647-5452,06/26,39600.0,1292.45,2022-05-08
22,9,3,4502-5380-0025-9832,05/26,14200.0,556.24,2024-09-12
23,9,5,5246-4536-6403-4534,04/27,80400.0,798.26,2024-04-07
24,9,1,3772-2970-6718-7281,12/27,5000.0,20.94,2024-02-25
25,10,1,5171-9659-6774-2943,06/28,3900.0,0.37,2024-06-02
26,10,5,3458-4568-1588-0133,03/27,96400.0,685.55,2024-10-29
27,10,2,5387-4395-5997-8634,01/28,7400.0,190.78,2023-04-19
28,11,3,5476-9843-8419-1491,06/28,11400.0,412.41,2024-04-14
29,12,3,6536-6649-2630-4663,07/25,21500.0,544.21,2022-05-08
30,13,3,5558-6804-2321-5329,01/27,10900.0,197.46,2023-12-01
31,13,4,6591-0079-9226-6470,06/26,39900.0,1438.74,2023-06-12
32,13,2,6572-6651-3821-1501,06/26,5900.0,172.87,2024-05-23
33,14,3,3408-9425-8715-1766,03/28,11300.0,410.96,2023-09-06
34,14,4,4630-9437-4498-6366,01/28,44000.0,1944.91,2022-07-11
35,15,2,3701-4117-7565-6384,07/27,8800.0,124.58,2023-08-14
36,15,3,5135-6888-6718-2196,12/25,12700.0,476.2,2024-06-06
37,16,4,5230-5969-3916-4194,10/26,31900.0,328.74,2023-12-07
38,16,2,3450-5740-0820-7896,09/25,9600.0,382.69,2023-11-04
39,16,5,6444-0454-2029-2904,04/27,85500.0,3890.67,2022-08-11
40,17,2,5461-8567-7417-5385,06/28,9000.0,440.26,2023-12-13
41,17,4,6569-2080-7412-2402,09/26,28900.0,689.32,2025-03-17
42,17,3,5335-7502-2546-4456,10/26,23800.0,755.45,2022-07-13
43,18,2,6011-4896-3955-2809,05/27,9400.0,125.33,2025-01-10
44,18,5,6567-8286-6328-8805,10/25,90000.0,705.53,2025-01-02
45,19,1,4434-7215-5757-2657,04/27,2700.0,16.82,2023-09-22
46,19,4,5397-9162-1527-9487,09/26,29700.0,895.82,2022-05-05
47,20,3,5380-5548-5902-0647,08/26,14700.0,450.82,2023-02-03
48,20,1,4336-1962-9317-0917,02/26,3700.0,133.9,2024-04-08
49,21,5,5320-0952-3498-1426,03/26,84300.0,3798.06,2022-07-04
50,21,1,6011-8764-0630-2477,07/27,1300.0,38.45,2022-12-28
51,22,2,5190-4374-6150-2586,06/27,8600.0,228.62,2023-01-22
52,23,1,5250-3222-7978-1479,04/27,1500.0,29.44,2023-04-07
53,24,2,5541-3539-8752-7414,07/27,7200.0,102.65,2024-10-16
54,24,5,6446-0484-3696-8723,07/26,94100.0,712.14,2022-10-09
55,24,1,5194-9143-3113-0950,12/25,2800.0,101.01,2022-09-20
56,25,1,5134-9705-9726-0388,06/28,3400.0,157.61,2022-05-06
57,25,3,5323-2245-2968-7081,02/28,16600.0,111.79,2024-02-11
58,26,2,3738-9972-1509-0608,12/25,5500.0,44.73,2022-09-16
59,27,2,6448-2384-5680-5096,07/26,8500.0,123.05,2023-08-04
60,28,3,4877-4631-1300-2107,06/28,11600.0,188.11,2023-07-22
61,28,1,3466-2291-9389-1937,01/28,4700.0,93.78,2023-07-03
62,29,2,3460-3586-2281-7693,12/25,8600.0,181.17,2025-01-09
63,29,5,3771-1970-7042-1392,07/25,99300.0,510.71,2024-05-14
64,30,3,4964-7977-8399-9554,03/27,13400.0,616.36,2022-07-29
