card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,4,5401-1281-3545-0209,05/27,31700.00,1257.69,2024-05-10
2,1,5,5201-3584-6338-6153,04/28,84000.00,4006.95,2023-09-02
3,1,3,6011-2057-7270-4039,09/26,10600.00,873.36,2022-05-24
4,2,5,5505-2949-0622-8863,09/27,97100.00,5806.58,2024-01-13
5,2,1,5513-6925-8592-0690,10/26,3200.00,1126.17,2022-04-29
6,2,2,5584-1236-9773-3426,09/26,6100.00,933.13,2024-08-11
7,3,2,5305-9742-3262-6009,03/28,5200.00,1431.33,2023-09-22
8,3,4,6011-7005-2757-5697,02/27,29900.00,5925.09,2022-08-24
9,4,1,5139-5143-2241-9438,08/27,3900.00,1912.98,2023-10-23
10,4,3,5305-8503-2404-6019,08/26,17500.00,2838.88,2024-06-17
11,4,5,3778-8856-0525-6778,05/28,99800.00,1257.46,2025-02-03
12,5,2,6441-5722-0455-4307,08/25,9200.00,2357.47,2022-08-30
13,5,4,5238-1281-6113-3801,07/26,28800.00,4793.56,2024-01-30
14,5,1,5369-8064-5560-9706,11/26,3400.00,9.34,2023-12-25
15,6,4,6011-2455-7464-0149,12/25,44400.00,9150.98,2023-10-09
16,6,2,5244-6147-3056-8173,01/26,6600.00,966.16,2022-06-26
17,6,1,6445-6206-8320-3325,07/27,1200.00,-639.93,2024-02-06
18,7,3,3434-9257-2552-4103,01/28,20000.00,6775.34,2023-10-26
19,8,3,6444-4393-1036-3783,08/27,20800.00,895.97,2024-04-10
20,8,5,5286-0201-2717-0151,06/26,69000.00,9775.05,2022-10-19
21,8,4,5466-8145-0647-5452,06/26,39600.00,1596.00,2022-05-08
22,9,3,4502-5380-0025-9832,05/26,14200.00,1802.18,2024-09-12
23,9,5,5246-4536-6403-4534,04/27,80400.00,1177.82,2024-04-07
24,9,1,3772-2970-6718-7281,12/27,5000.00,423.97,2024-02-25
25,10,1,5171-9659-6774-2943,06/28,3900.00,956.64,2024-06-02
26,10,5,3458-4568-1588-0133,03/27,96400.00,1187.27,2024-10-29
27,10,2,5387-4395-5997-8634,01/28,7400.00,4176.47,2023-04-19
28,11,3,5476-9843-8419-1491,06/28,11400.00,546.80,2024-04-14
29,12,3,6536-6649-2630-4663,07/25,21500.00,784.16,2022-05-08
30,13,3,5558-6804-2321-5329,01/27,10900.00,1023.96,2023-12-01
31,13,4,6591-0079-9226-6470,06/26,39900.00,2651.34,2023-06-12
32,13,2,6572-6651-3821-1501,06/26,5900.00,2425.29,2024-05-23
33,14,3,3408-9425-8715-1766,03/28,11300.00,2708.94,2023-09-06
34,14,4,4630-9437-4498-6366,01/28,44000.00,5249.67,2022-07-11
35,15,2,3701-4117-7565-6384,07/27,8800.00,1406.18,2023-08-14
36,15,3,5135-6888-6718-2196,12/25,12700.00,2779.36,2024-06-06
37,16,4,5230-5969-3916-4194,10/26,31900.00,1775.65,2023-12-07
38,16,2,3450-5740-0820-7896,09/25,9600.00,1002.67,2023-11-04
39,16,5,6444-0454-2029-2904,04/27,85500.00,6577.79,2022-08-11
40,17,2,5461-8567-7417-5385,06/28,9000.00,715.75,2023-12-13
41,17,4,6569-2080-7412-2402,09/26,28900.00,1755.30,2025-03-17
42,17,3,5335-7502-2546-4456,10/26,23800.00,4554.69,2022-07-13
43,18,2,6011-4896-3955-2809,05/27,9400.00,529.26,2025-01-10
44,18,5,6567-8286-6328-8805,10/25,90000.00,1845.78,2025-01-02
45,19,1,4434-7215-5757-2657,04/27,2700.00,1637.30,2023-09-22
46,19,4,5397-9162-1527-9487,09/26,29700.00,1577.87,2022-05-05
47,20,3,5380-5548-5902-0647,08/26,14700.00,1387.20,2023-02-03
48,20,1,4336-1962-9317-0917,02/26,3700.00,535.52,2024-04-08
49,21,5,5320-0952-3498-1426,03/26,84300.00,4466.27,2022-07-04
50,21,1,6011-8764-0630-2477,07/27,1300.00,1099.97,2022-12-28
51,22,2,5190-4374-6150-2586,06/27,8600.00,629.65,2023-01-22
52,23,1,5250-3222-7978-1479,04/27,1500.00,-99.53,2023-04-07
53,24,2,5541-3539-8752-7414,07/27,7200.00,2090.35,2024-10-16
54,24,5,6446-0484-3696-8723,07/26,94100.00,989.94,2022-10-09
55,24,1,5194-9143-3113-0950,12/25,2800.00,216.69,2022-09-20
56,25,1,5134-9705-9726-0388,06/28,3400.00,527.97,2022-05-06
57,25,3,5323-2245-2968-7081,02/28,16600.00,1941.29,2024-02-11
58,26,2,3738-9972-1509-0608,12/25,5500.00,1571.35,2022-09-16
59,27,2,6448-2384-5680-5096,07/26,8500.00,883.39,2023-08-04
60,28,3,4877-4631-1300-2107,06/28,11000.00,4510.66,2023-07-22
61,28,1,3466-2291-9389-1937,01/28,4500.00,2119.11,2023-07-03
62,29,2,3460-3586-2281-7693,12/25,8600.00,727.13,2025-01-09
63,29,5,3771-1970-7042-1392,07/25,99300.00,378.72,2024-05-14
64,30,3,4964-7977-8399-9554,03/27,13400.00,1076.40,2022-07-29
